instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
WangRastrigin-d5-error4-phi3000.0 cokriging 20 50 1 5 0.8779 0.0531 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9922 0.1282 0.0034 0.0000 0.0297 0.0343 0.147630
WangRastrigin-d5-error4-phi3000.0 cokriging 20 50 2 5 0.8840 0.0528 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9930 0.2110 0.0058 0.0000 0.0310 0.0355 0.157495
WangRastrigin-d5-error4-phi3000.0 cokriging 20 50 3 5 0.8744 0.0522 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9534 0.1562 0.0036 0.0002 0.0363 0.0421 0.147868
WangRastrigin-d5-error4-phi3000.0 cokriging 20 50 4 5 0.8734 0.0540 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9408 0.1554 0.0034 0.0000 0.0373 0.0433 0.146476
WangRastrigin-d5-error4-phi3000.0 cokriging 20 50 5 5 0.8776 0.0538 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9636 0.1830 0.0046 0.0000 0.0354 0.0408 0.150121
WangRastrigin-d5-error4-phi3000.0 cokriging 20 50 6 5 0.8757 0.0498 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9538 0.1624 0.0046 0.0000 0.0366 0.0425 0.149076
WangRastrigin-d5-error4-phi3000.0 cokriging 20 50 7 5 0.8826 0.0507 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9870 0.2136 0.0032 0.0000 0.0325 0.0373 0.159825
WangRastrigin-d5-error4-phi3000.0 cokriging 20 50 8 5 0.8767 0.0523 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9756 0.1496 0.0026 0.0000 0.0322 0.0372 0.146844
WangRastrigin-d5-error4-phi3000.0 cokriging 20 50 9 5 0.8803 0.0513 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9760 0.1798 0.0080 0.0002 0.0344 0.0397 0.157725
WangRastrigin-d5-error4-phi3000.0 cokriging 20 50 10 5 0.8870 0.0504 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9920 0.2188 0.0058 0.0000 0.0301 0.0344 0.163792
