instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction5-dim5-seed1-disth1-height0.25-radius0.1-freq100-amp1.5 cokriging 20 50 11 5 0.4157 0.2081 0.7496 0.6900 0.6536 0.6266 0.6044 0.5872 0.5648 0.5410 0.5064 0.4858 0.4628 0.4254 0.6857 0.072408
COCOfunction5-dim5-seed1-disth1-height0.25-radius0.1-freq100-amp1.5 cokriging 20 50 12 5 0.4310 0.2039 0.7772 0.7092 0.6682 0.6388 0.6166 0.5944 0.5704 0.5450 0.5140 0.4918 0.4740 0.4177 0.6601 0.178948
COCOfunction5-dim5-seed1-disth1-height0.25-radius0.1-freq100-amp1.5 cokriging 20 50 13 5 0.4132 0.2066 0.7638 0.6906 0.6548 0.6300 0.6064 0.5872 0.5640 0.5406 0.5078 0.4802 0.4608 0.4222 0.6777 0.025305
COCOfunction5-dim5-seed1-disth1-height0.25-radius0.1-freq100-amp1.5 cokriging 20 50 14 5 0.4018 0.1967 0.7386 0.6880 0.6534 0.6296 0.6092 0.5884 0.5684 0.5456 0.5140 0.4908 0.4692 0.4306 0.6949 0.036689
COCOfunction5-dim5-seed1-disth1-height0.25-radius0.1-freq100-amp1.5 cokriging 20 50 15 5 0.4065 0.2088 0.7378 0.6862 0.6520 0.6308 0.6078 0.5868 0.5656 0.5432 0.5112 0.4862 0.4684 0.4278 0.6898 0.138872
COCOfunction5-dim5-seed1-disth1-height0.25-radius0.1-freq100-amp1.5 cokriging 20 50 16 5 0.4200 0.1962 0.7704 0.7074 0.6694 0.6434 0.6156 0.5926 0.5674 0.5408 0.5082 0.4802 0.4648 0.4187 0.6650 0.074127
COCOfunction5-dim5-seed1-disth1-height0.25-radius0.1-freq100-amp1.5 cokriging 20 50 17 5 0.4399 0.1945 0.7612 0.6966 0.6644 0.6376 0.6150 0.5934 0.5712 0.5492 0.5216 0.4954 0.4752 0.4230 0.6713 0.129128
COCOfunction5-dim5-seed1-disth1-height0.25-radius0.1-freq100-amp1.5 cokriging 20 50 18 5 0.3762 0.2120 0.7354 0.6830 0.6514 0.6256 0.6052 0.5868 0.5648 0.5414 0.5126 0.4890 0.4664 0.4314 0.6997 0.059975
COCOfunction5-dim5-seed1-disth1-height0.25-radius0.1-freq100-amp1.5 cokriging 20 50 19 5 0.4194 0.2059 0.7642 0.6958 0.6596 0.6286 0.6040 0.5812 0.5592 0.5354 0.5056 0.4832 0.4626 0.4210 0.6769 0.042891
COCOfunction5-dim5-seed1-disth1-height0.25-radius0.1-freq100-amp1.5 cokriging 20 50 20 5 0.4050 0.1993 0.7688 0.7080 0.6736 0.6472 0.6228 0.6026 0.5820 0.5572 0.5236 0.4978 0.4752 0.4214 0.6620 0.218286
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 1 5 0.3758 0.1483 0.8872 0.8278 0.7752 0.7180 0.6538 0.5982 0.5434 0.4770 0.4030 0.3476 0.3048 0.3516 0.5406 0.122256
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 2 5 0.3913 0.1515 0.8984 0.8442 0.7882 0.7202 0.6582 0.5966 0.5308 0.4638 0.3850 0.3398 0.3076 0.3438 0.5279 0.123013
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 3 5 0.3830 0.1621 0.8836 0.8106 0.7510 0.6956 0.6416 0.5856 0.5300 0.4724 0.3974 0.3498 0.3116 0.3578 0.5596 0.171696
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 4 5 0.3942 0.1491 0.8968 0.8282 0.7632 0.7030 0.6488 0.5910 0.5380 0.4762 0.4030 0.3460 0.3062 0.3517 0.5434 0.074512
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 5 5 0.3666 0.1531 0.8992 0.8320 0.7652 0.7040 0.6414 0.5822 0.5240 0.4644 0.3870 0.3388 0.3042 0.3488 0.5427 0.131906
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 6 5 0.3914 0.1629 0.9126 0.8456 0.7768 0.7066 0.6440 0.5896 0.5340 0.4716 0.3984 0.3410 0.2976 0.3435 0.5281 0.076828
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 7 5 0.4160 0.1574 0.9164 0.8466 0.7794 0.7200 0.6576 0.5970 0.5324 0.4662 0.3924 0.3436 0.3066 0.3401 0.5201 0.161600
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 8 5 0.4012 0.1550 0.8968 0.8236 0.7570 0.6974 0.6310 0.5734 0.5218 0.4678 0.3990 0.3506 0.3146 0.3533 0.5523 0.160613
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 9 5 0.3567 0.1543 0.8852 0.8210 0.7690 0.7148 0.6640 0.6116 0.5470 0.4734 0.3992 0.3496 0.3072 0.3525 0.5418 0.177758
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 10 5 0.3809 0.1604 0.9006 0.8372 0.7734 0.7152 0.6552 0.5904 0.5338 0.4702 0.3970 0.3380 0.2980 0.3469 0.5341 0.141892
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 11 5 0.3509 0.1704 0.8772 0.8178 0.7648 0.7116 0.6586 0.5982 0.5428 0.4834 0.4072 0.3536 0.3062 0.3563 0.5499 0.171010
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 12 5 0.3824 0.1570 0.9022 0.8428 0.7888 0.7276 0.6604 0.5954 0.5352 0.4734 0.3950 0.3408 0.3024 0.3432 0.5243 0.140443
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 13 5 0.3946 0.1505 0.8890 0.8202 0.7608 0.7046 0.6542 0.5960 0.5370 0.4780 0.4064 0.3552 0.3142 0.3535 0.5452 0.140864
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 14 5 0.3829 0.1534 0.8948 0.8360 0.7748 0.7130 0.6522 0.5954 0.5346 0.4724 0.3928 0.3390 0.3010 0.3476 0.5356 0.094563
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 15 5 0.4194 0.1592 0.9196 0.8500 0.7818 0.7228 0.6628 0.5986 0.5340 0.4774 0.3968 0.3454 0.3060 0.3391 0.5159 0.173849
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 16 5 0.3574 0.1468 0.8794 0.8040 0.7408 0.6826 0.6300 0.5730 0.5142 0.4558 0.3932 0.3430 0.2986 0.3595 0.5708 0.122000
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 17 5 0.3873 0.1504 0.9130 0.8442 0.7840 0.7138 0.6556 0.5944 0.5376 0.4744 0.4060 0.3506 0.3016 0.3422 0.5220 0.090778
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 18 5 0.3995 0.1472 0.9014 0.8268 0.7606 0.6906 0.6334 0.5746 0.5172 0.4572 0.3822 0.3300 0.2910 0.3488 0.5481 0.046612
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 19 5 0.3690 0.1600 0.8866 0.8278 0.7686 0.7124 0.6592 0.6030 0.5432 0.4770 0.3988 0.3440 0.3026 0.3506 0.5388 0.170324
COCOfunction20-dim5-seed1-disth2-height0-radius0.15-freq10-amp2 cokriging 20 50 20 5 0.3996 0.1456 0.9128 0.8440 0.7768 0.7052 0.6386 0.5776 0.5190 0.4596 0.3870 0.3406 0.3010 0.3427 0.5311 0.070440
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 1 5 0.3945 0.1146 0.9600 0.9118 0.8498 0.7964 0.7346 0.6656 0.5728 0.4674 0.3484 0.2862 0.2474 0.2957 0.4277 0.100345
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 2 5 0.3567 0.1620 0.9372 0.8820 0.8242 0.7666 0.6972 0.6244 0.5378 0.4514 0.3554 0.2974 0.2546 0.3146 0.4706 0.113264
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 3 5 0.4013 0.1055 0.9590 0.9164 0.8660 0.8062 0.7362 0.6728 0.5936 0.4936 0.3880 0.3210 0.2694 0.2959 0.4197 0.075179
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 4 5 0.3723 0.1522 0.9446 0.8848 0.8256 0.7650 0.6964 0.6266 0.5456 0.4516 0.3684 0.3164 0.2812 0.3134 0.4649 0.145150
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 5 5 0.3731 0.1181 0.9506 0.8968 0.8344 0.7784 0.7114 0.6428 0.5646 0.4698 0.3840 0.3230 0.2764 0.3091 0.4505 0.102258
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 6 5 0.3446 0.1376 0.9460 0.8790 0.8136 0.7562 0.6856 0.5996 0.5092 0.4230 0.3300 0.2708 0.2328 0.3111 0.4752 0.147984
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 7 5 0.4337 0.1140 0.9724 0.9338 0.8870 0.8144 0.7404 0.6574 0.5608 0.4704 0.3774 0.3044 0.2534 0.2837 0.4036 0.076118
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 8 5 0.3741 0.1528 0.9600 0.9224 0.8660 0.7924 0.7094 0.6212 0.5400 0.4490 0.3436 0.2892 0.2464 0.2930 0.4298 0.087656
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 9 5 0.3247 0.1197 0.9462 0.8802 0.8210 0.7638 0.7074 0.6300 0.5516 0.4736 0.3816 0.3228 0.2760 0.3166 0.4668 0.080476
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 10 5 0.3632 0.1396 0.9432 0.8922 0.8206 0.7498 0.6882 0.6254 0.5500 0.4634 0.3730 0.3124 0.2706 0.3168 0.4711 0.113600
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 11 5 0.3868 0.1300 0.9574 0.9104 0.8460 0.7742 0.6968 0.6090 0.5256 0.4450 0.3524 0.2972 0.2584 0.3030 0.4501 0.088094
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 12 5 0.3664 0.1369 0.9608 0.9166 0.8532 0.7648 0.6714 0.5896 0.5124 0.4374 0.3638 0.3090 0.2704 0.3041 0.4547 0.120963
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 13 5 0.3794 0.1578 0.9604 0.9230 0.8762 0.8044 0.7210 0.6306 0.5452 0.4736 0.3750 0.3108 0.2636 0.2940 0.4245 0.160220
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 14 5 0.3704 0.1148 0.9500 0.8964 0.8368 0.7734 0.7146 0.6338 0.5390 0.4506 0.3554 0.2996 0.2604 0.3069 0.4539 0.082258
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 15 5 0.3601 0.1385 0.9510 0.8926 0.8414 0.7790 0.7036 0.6254 0.5482 0.4602 0.3682 0.3068 0.2626 0.3081 0.4543 0.114225
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 16 5 0.3852 0.1198 0.9540 0.9186 0.8760 0.8156 0.7414 0.6396 0.5384 0.4480 0.3548 0.2956 0.2522 0.2906 0.4214 0.076317
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 17 5 0.4329 0.1133 0.9830 0.9472 0.8904 0.8212 0.7316 0.6364 0.5528 0.4682 0.3756 0.3108 0.2696 0.2801 0.3986 0.090858
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 18 5 0.3314 0.1099 0.9320 0.8826 0.8264 0.7670 0.7146 0.6492 0.5530 0.4418 0.3610 0.2972 0.2546 0.3140 0.4663 0.070679
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 19 5 0.4159 0.1381 0.9648 0.9240 0.8748 0.8130 0.7324 0.6436 0.5498 0.4584 0.3510 0.2960 0.2516 0.2876 0.4149 0.125984
COCOfunction9-dim5-seed1-disth1-height0.25-radius0.15-freq100-amp1 cokriging 20 50 20 5 0.4259 0.1376 0.9656 0.9264 0.8628 0.7944 0.7130 0.6312 0.5540 0.4728 0.3618 0.3062 0.2672 0.2948 0.4268 0.105964
