instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
ShiHartmannH4 cokriging 16 40 1 4 0.8335 0.2208 1.0000 1.0000 1.0000 1.0000 0.9997 0.9952 0.9690 0.8422 0.4730 0.3020 0.2175 0.0874 0.0985 0.155775
ShiHartmannH4 cokriging 16 40 2 4 0.8378 0.2205 1.0000 1.0000 1.0000 1.0000 0.9990 0.9932 0.9717 0.8555 0.4765 0.2942 0.2067 0.0864 0.0974 0.160066
ShiHartmannH4 cokriging 16 40 3 4 0.8355 0.2239 1.0000 1.0000 1.0000 1.0000 1.0000 0.9945 0.9732 0.8517 0.4800 0.2930 0.2147 0.0856 0.0964 0.158208
ShiHartmannH4 cokriging 16 40 4 4 0.8330 0.2184 1.0000 1.0000 1.0000 1.0000 0.9997 0.9957 0.9705 0.8422 0.4485 0.2852 0.2060 0.0866 0.0979 0.170332
ShiHartmannH4 cokriging 16 40 5 4 0.8334 0.2191 1.0000 1.0000 1.0000 1.0000 1.0000 0.9960 0.9715 0.8557 0.4487 0.2787 0.2017 0.0847 0.0956 0.116371
ShiHartmannH4 cokriging 16 40 6 4 0.8309 0.2226 1.0000 1.0000 1.0000 1.0000 1.0000 0.9947 0.9712 0.8445 0.4697 0.2985 0.2147 0.0873 0.0984 0.150354
ShiHartmannH4 cokriging 16 40 7 4 0.8368 0.2159 1.0000 1.0000 1.0000 1.0000 1.0000 0.9977 0.9777 0.8687 0.4605 0.2845 0.2120 0.0821 0.0924 0.145767
ShiHartmannH4 cokriging 16 40 8 4 0.8279 0.2163 1.0000 1.0000 1.0000 1.0000 1.0000 0.9952 0.9697 0.8580 0.4520 0.2830 0.2030 0.0852 0.0962 0.243840
ShiHartmannH4 cokriging 16 40 9 4 0.8399 0.2187 1.0000 1.0000 1.0000 1.0000 0.9997 0.9935 0.9687 0.8497 0.4647 0.2852 0.2097 0.0872 0.0984 0.114935
ShiHartmannH4 cokriging 16 40 10 4 0.8331 0.2176 1.0000 1.0000 1.0000 1.0000 0.9997 0.9955 0.9702 0.8457 0.4592 0.2922 0.2210 0.0879 0.0993 0.170518
ShiHartmannH4 cokriging 16 40 11 4 0.8349 0.2205 1.0000 1.0000 1.0000 1.0000 0.9987 0.9902 0.9667 0.8417 0.4440 0.2825 0.2060 0.0887 0.1004 0.111816
ShiHartmannH4 cokriging 16 40 12 4 0.8343 0.2181 1.0000 1.0000 1.0000 1.0000 0.9995 0.9937 0.9710 0.8467 0.4612 0.2877 0.2130 0.0873 0.0985 0.110405
ShiHartmannH4 cokriging 16 40 13 4 0.8352 0.2155 1.0000 1.0000 1.0000 1.0000 1.0000 0.9987 0.9787 0.8612 0.4637 0.2860 0.2147 0.0825 0.0928 0.122233
ShiHartmannH4 cokriging 16 40 14 4 0.8304 0.2191 1.0000 1.0000 1.0000 1.0000 0.9987 0.9920 0.9630 0.8460 0.4537 0.2817 0.2057 0.0892 0.1008 0.124943
ShiHartmannH4 cokriging 16 40 15 4 0.8330 0.2206 1.0000 1.0000 1.0000 1.0000 0.9987 0.9907 0.9615 0.8455 0.4705 0.2955 0.2187 0.0910 0.1028 0.131627
ShiHartmannH4 cokriging 16 40 16 4 0.8333 0.2239 1.0000 1.0000 1.0000 1.0000 0.9997 0.9962 0.9730 0.8707 0.4557 0.2907 0.2095 0.0838 0.0943 0.130341
ShiHartmannH4 cokriging 16 40 17 4 0.8338 0.2177 1.0000 1.0000 1.0000 1.0000 0.9990 0.9950 0.9672 0.8430 0.4650 0.2880 0.2040 0.0876 0.0989 0.163170
ShiHartmannH4 cokriging 16 40 18 4 0.8311 0.2173 1.0000 1.0000 1.0000 1.0000 1.0000 0.9975 0.9795 0.8522 0.4692 0.2790 0.2017 0.0830 0.0936 0.128863
ShiHartmannH4 cokriging 16 40 19 4 0.8368 0.2184 1.0000 1.0000 1.0000 1.0000 0.9995 0.9950 0.9715 0.8620 0.4510 0.2842 0.2120 0.0850 0.0958 0.146784
ShiHartmannH4 cokriging 16 40 20 4 0.8347 0.2176 1.0000 1.0000 1.0000 1.0000 0.9992 0.9950 0.9777 0.8552 0.4555 0.2880 0.2082 0.0843 0.0951 0.157821
